ID,Name,Platform,Platform_Group,Genre,NA_players,EU_players,JP_players,Other_players,Player_Group,Global_players,Critic_Score,User_Score,Rating,Year_of_Release,Publisher,Developer
1,Wii Sports,Wii,Nintendo,Sports,41.36,28.96,3.77,8.45,5,82.53,76,8,E,2006,Nintendo,Nintendo
3,Mario Kart Wii,Wii,Nintendo,Racing,15.68,12.76,3.79,3.29,5,35.52,82,8.3,E,2008,Nintendo,Nintendo
4,Wii Sports Resort,Wii,Nintendo,Sports,15.61,10.93,3.28,2.95,5,32.77,80,8,E,2009,Nintendo,Nintendo
7,New Super Mario Bros.,DS,Nintendo,Platform,11.28,9.14,6.5,2.88,5,29.8,89,8.5,E,2006,Nintendo,Nintendo
8,Wii Play,Wii,Nintendo,Misc,13.96,9.18,2.93,2.84,5,28.92,58,6.6,E,2006,Nintendo,Nintendo
9,New Super Mario Bros. Wii,Wii,Nintendo,Platform,14.44,6.94,4.7,2.24,5,28.32,87,8.4,E,2009,Nintendo,Nintendo
12,Mario Kart DS,DS,Nintendo,Racing,9.71,7.47,4.13,1.9,5,23.21,91,8.6,E,2005,Nintendo,Nintendo
14,Wii Fit,Wii,Nintendo,Sports,8.92,8.03,3.6,2.15,5,22.7,80,7.7,E,2007,Nintendo,Nintendo
15,Kinect Adventures!,X360,XBOX,Misc,15,4.89,0.24,1.69,5,21.81,61,6.3,E,2010,Microsoft Game Studios,Good Science Studio
16,Wii Fit Plus,Wii,Nintendo,Sports,9.01,8.49,2.53,1.77,5,21.79,80,7.4,E,2009,Nintendo,Nintendo
17,Grand Theft Auto V,PS3,PS,Action,7.02,9.09,0.98,3.96,5,21.04,97,8.2,M,2013,Take-Two Interactive,Rockstar North
18,Grand Theft Auto: San Andreas,PS2,PS,Action,9.43,0.4,0.41,10.57,5,20.81,95,9,M,2004,Take-Two Interactive,Rockstar North
20,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,Misc,4.74,9.2,4.16,2.04,5,20.15,77,7.9,E,2005,Nintendo,Nintendo
24,Grand Theft Auto V,X360,XBOX,Action,9.66,5.14,0.06,1.41,4,16.27,97,8.1,M,2013,Take-Two Interactive,Rockstar North
25,Grand Theft Auto: Vice City,PS2,PS,Action,8.41,5.49,0.47,1.78,4,16.15,95,8.7,M,2002,Take-Two Interactive,Rockstar North
27,Brain Age 2: More Training in Minutes a Day,DS,Nintendo,Puzzle,3.43,5.35,5.32,1.18,4,15.29,77,7.1,E,2005,Nintendo,Nintendo
29,Gran Turismo 3: A-Spec,PS2,PS,Racing,6.85,5.09,1.87,1.16,4,14.98,95,8.4,E,2001,Sony Computer Entertainment,Polyphony Digital
30,Call of Duty: Modern Warfare 3,X360,XBOX,Shooter,9.04,4.24,0.13,1.32,4,14.73,88,3.4,M,2011,Activision,"Infinity Ward, Sledgehammer Games"
33,Call of Duty: Black Ops,X360,XBOX,Shooter,9.7,3.68,0.11,1.13,4,14.61,87,6.3,M,2010,Activision,Treyarch
35,Call of Duty: Black Ops II,PS3,PS,Shooter,4.99,5.73,0.65,2.42,3,13.79,83,5.3,M,2012,Activision,Treyarch
36,Call of Duty: Black Ops II,X360,XBOX,Shooter,8.25,4.24,0.07,1.12,3,13.67,83,4.8,M,2012,Activision,Treyarch
37,Call of Duty: Modern Warfare 2,X360,XBOX,Shooter,8.52,3.59,0.08,1.28,3,13.47,94,6.3,M,2009,Activision,Infinity Ward
38,Call of Duty: Modern Warfare 3,PS3,PS,Shooter,5.54,5.73,0.49,1.57,3,13.32,88,3.2,M,2011,Activision,"Infinity Ward, Sledgehammer Games"
39,Grand Theft Auto III,PS2,PS,Action,6.99,4.51,0.3,1.3,3,13.1,97,8.5,M,2001,Take-Two Interactive,DMA Design
40,Super Smash Bros. Brawl,Wii,Nintendo,Fighting,6.62,2.55,2.66,1.01,3,12.84,93,8.9,T,2008,Nintendo,Game Arts
41,Mario Kart 7,3DS,Nintendo,Racing,5.03,4.02,2.69,0.91,3,12.66,85,8.2,E,2011,Nintendo,"Retro Studios, Entertainment Analysis & Development Division"
42,Call of Duty: Black Ops,PS3,PS,Shooter,5.99,4.37,0.48,1.79,3,12.63,88,6.4,M,2010,Activision,Treyarch
43,Grand Theft Auto V,PS4,PS,Action,3.96,6.31,0.38,1.97,3,12.61,97,8.3,M,2014,Take-Two Interactive,Rockstar North
44,Animal Crossing: Wild World,DS,Nintendo,Simulation,2.5,3.45,5.33,0.86,3,12.13,86,8.7,E,2005,Nintendo,Nintendo
45,Halo 3,X360,XBOX,Shooter,7.97,2.81,0.13,1.21,3,12.12,94,7.8,M,2007,Microsoft Game Studios,"Bungie Software, Bungie"
49,Gran Turismo 4,PS2,PS,Racing,3.01,0.01,1.1,7.53,3,11.66,89,8.5,E,2004,Sony Computer Entertainment,Polyphony Digital
50,Super Mario Galaxy,Wii,Nintendo,Platform,6.06,3.35,1.2,0.74,3,11.35,97,8.9,E,2007,Nintendo,Nintendo
52,Grand Theft Auto IV,X360,XBOX,Action,6.76,3.07,0.14,1.03,3,11.01,98,7.9,M,2008,Take-Two Interactive,Rockstar North
53,Gran Turismo,PS,PS,Racing,4.02,3.87,2.54,0.52,3,10.95,96,8.7,E,1997,Sony Computer Entertainment,Polyphony Digital
54,Super Mario 3D Land,3DS,Nintendo,Platform,4.89,3,2.14,0.78,3,10.81,90,8.4,E,2011,Nintendo,Nintendo
